=======================================
2026-03-04_17-10-28
=======================================
reading nasdaq-stock-nyse.json
retrieved 2702 symbols
BRK-A: unknown mic for exchange: '', setting to XXXX
PDX: empty region,
VLRS: empty region,
SUPV: empty region,
AIO: empty region,
RSKD: empty region,
EVMN: empty region,
TBN: empty region,
CINT: empty region,
HSHP: empty region,
ASC: empty region,
SB: empty region,
INFQ: empty region,
NDMO: empty region,
MSC: empty region,
NMCO: empty region,
MSIF: empty region,
TPTA: empty region,
FTW: empty region,
CODI: empty company, description, region,
CMDB: empty region,
PSFE: empty region,
EVTL: empty region,
SDHY: empty region,
FVRR: empty region,
AVBC: empty region,
AUNA: empty region,
LZM: empty region,
CVEO: empty region,
FINS: empty region,
RFMZ: empty region,
RMMZ: empty region,
RMM: empty region,
SI: empty region,
ECC: unknown mic for exchange: 'Unknown', setting to XXXX
SMWB: empty region,
CBNA: empty region,
TFSA: empty region,
ETX: empty region,
HKD: empty region,
BIPI: empty description,
MDV: empty region,
VLN: empty region,
GGZ: empty region,
NXG: empty region,
GHG: empty region,
BEBE: empty region,
AKA: empty region,
RMI: empty region,
CHMI: empty region,
AMTD: empty region,
RGT: empty region,
RFM: empty region,
PEW: empty region,
TGE: empty region,
STG: empty region,
GROV: empty region,
RSF: empty region,
PSQH: empty region,
CNF: empty region,
LOCL: empty region,
NYC: empty region,
FEDU: empty region,
MOGU: empty region,
SLAI: empty region,
SBDS: empty region,
ABR^D: empty description, region,
ABR^E: empty description, region,
ABR^F: empty description, region,
ABXL: empty description,
ACP^A: empty description, region,
ACR^C: empty description, region,
ACR^D: empty description, region,
ADC^A: empty description, region,
AEFC: empty description,
AEXA: empty description, region,
AGM^D: empty description, region,
AGM^E: empty description, region,
AGM^F: empty description, region,
AGM^G: empty description, region,
AGM^H: empty description, region,
AHL^D: empty description, region,
AHL^E: empty description, region,
AHL^F: empty description, region,
AHRT^A: empty description, region,
AHT^D: empty description, region,
AHT^F: empty description, region,
AHT^G: empty description, region,
AHT^H: empty description, region,
AHT^I: empty description, region,
AIIA: empty description, region,
AKO-A: unknown mic for exchange: '', setting to XXXX
AKO-A: empty name, company, description, exchange, asset class, industry, sector, region,
AKO-B: unknown mic for exchange: '', setting to XXXX
AKO-B: empty name, company, description, exchange, asset class, industry, sector, region,
ALB^A: empty description, region,
ALL^B: empty description, region,
ALL^H: empty description, region,
ALL^I: empty description, region,
ALL^J: empty description, region,
ALTG^A: empty description, region,
ALUB: empty description, region,
AMH^G: empty description, region,
AMH^H: empty description, region,
ANG^D: empty description, region,
APO^A: empty description, region,
ARES^B: empty description, region,
ARR^C: empty description, region,
ASB^E: empty description, region,
ASB^F: empty description, region,
ATH^A: empty description, region,
ATH^B: empty description, region,
ATH^D: empty description, region,
ATH^E: empty description, region,
AUB^A: empty description, region,
AXIA^: empty description, region,
AXIA^C: empty description, region,
AXS^E: empty description, region,
BA^A: empty description, region,
BAC^B: empty description, region,
BAC^E: empty description, region,
BAC^K: empty description, region,
BAC^L: empty description, region,
BAC^M: empty description, region,
BAC^N: empty description, region,
BAC^O: empty description, region,
BAC^P: empty description, region,
BAC^Q: empty description, region,
BAC^S: empty description, region,
BANC^F: empty description, region,
BC^C: empty description, region,
BCSS: empty description, region,
BEP^A: empty description, region,
BF-A: unknown mic for exchange: '', setting to XXXX
BF-A: empty name, company, description, exchange, asset class, industry, sector, region,
BF-B: unknown mic for exchange: '', setting to XXXX
BF-B: empty name, company, description, exchange, asset class, industry, sector, region,
BFH^A: empty description, region,
BFS^D: empty description, region,
BFS^E: empty description, region,
BGX: empty region,
BHR^B: empty description, region,
BHR^D: empty description, region,
BIII: empty description, region,
BIO-B: unknown mic for exchange: '', setting to XXXX
BIO-B: empty name, company, description, exchange, asset class, industry, sector, region,
BIP^A: empty description, region,
BIP^B: empty description, region,
BK^K: empty description, region,
BML^G: empty description, region,
BML^H: empty description, region,
BML^J: empty description, region,
BML^L: empty description, region,
BMN: empty region,
BOH^A: empty description, region,
BOH^B: empty description, region,
BPRE: empty description, region,
BW^A: empty description, region,
BXSL: empty region,
C^N: empty description, region,
C^R: empty name, description, region,
CCID: empty description, region,
CCIF: empty region,
CDR^B: empty description, region,
CDR^C: empty description, region,
CFG^E: empty description, region,
CFG^H: empty description, region,
CFG^I: empty description, region,
CFND: empty description, region,
CFR^B: empty description, region,
CHMI^A: empty description, region,
CHMI^B: empty description, region,
CIM^A: empty description, region,
CIM^B: empty description, region,
CIM^C: empty description, region,
CIM^D: empty description, region,
CLDT^A: empty description, region,
CMRE^B: empty description, region,
CMRE^C: empty description, region,
CMRE^D: empty description, region,
CMS^B: empty description, region,
CMS^C: empty description, region,
CNO^A: empty description, region,
CODI^A: empty description, region,
CODI^B: empty description, region,
CODI^C: empty description, region,
COF^I: empty description, region,
COF^J: empty description, region,
COF^K: empty description, region,
COF^L: empty description, region,
COF^N: empty description, region,
COPL: empty description, region,
CRD-A: unknown mic for exchange: '', setting to XXXX
CRD-A: empty name, company, description, exchange, asset class, industry, sector, region,
CRD-B: unknown mic for exchange: '', setting to XXXX
CRD-B: empty name, company, description, exchange, asset class, industry, sector, region,
CTA^A: empty description, region,
CTA^B: empty description, region,
CTO^A: empty description, region,
DBRG^H: empty description, region,
DBRG^I: empty description, region,
DBRG^J: empty description, region,
DFP: empty region,
DIAX: empty region,
DLNG^A: empty description, region,
DLR^J: empty description, region,
DLR^K: empty description, region,
DLR^L: empty description, region,
DMA: empty region,
DMB: empty region,
DSX^B: empty description, region,
DUK^A: empty description, region,
DX^C: empty description, region,
DXYZ: empty region,
ECC^D: empty description, region,
EFC^B: empty description, region,
EFC^C: empty description, region,
EFC^D: empty description, region,
EICC: empty description,
EIIA: empty description, region,
EOS: empty company, description, region,
EP^C: empty description, region,
EPR^C: empty description, region,
EPR^E: empty description, region,
EPR^G: empty description, region,
EQH^A: empty description, region,
EQH^C: empty description, region,
ET^I: empty description, region,
ETI^: empty description, region,
EVAC: empty description, region,
F^B: empty description, region,
F^C: empty description, region,
F^D: empty description, region,
FBRT^E: empty description, region,
FCRS: empty description, region,
FHN^C: empty description, region,
FHN^E: empty description, region,
FHN^F: empty description, region,
FLG^A: empty description, region,
FLG^U: empty description, region,
FOUR^A: empty description, region,
FRT^C: empty description, region,
FSSL: empty region,
GAB^G: empty description, region,
GAB^H: empty description, region,
GAB^K: empty description, region,
GAM^B: empty description, region,
GDV^H: empty description, region,
GDV^K: empty description, region,
GGT^E: empty description, region,
GGT^G: empty description, region,
GL^D: empty description, region,
GLOP^A: empty description, region,
GLOP^B: empty description, region,
GLOP^C: empty description, region,
GLP^B: empty description, region,
GNL^A: empty description, region,
GNL^B: empty description, region,
GNL^D: empty description, region,
GNL^E: empty description, region,
GNT^A: empty description, region,
GPMT^A: empty description, region,
GRBK^A: empty description, region,
GS^A: empty description, region,
GS^C: empty description, region,
GS^D: empty description, region,
GSL^B: empty description, region,
GUT^C: empty description, region,
HEI-A: unknown mic for exchange: '', setting to XXXX
HEI-A: empty name, company, description, exchange, asset class, industry, sector, region,
HFRO^A: empty description, region,
HFRO^B: empty description, region,
HGLB: empty region,
HIG^G: empty description, region,
HL^B: empty description, region,
HPE^C: empty description, region,
HPP^C: empty description, region,
HVT-A: unknown mic for exchange: '', setting to XXXX
HVT-A: empty name, company, description, exchange, asset class, industry, sector, region,
HYAC: empty description, region,
HYI: empty region,
ICR^A: empty description, region,
IIPR^A: empty description, region,
INN^E: empty description, region,
INN^F: empty description, region,
IRAB: empty description, region,
IVR^C: empty description, region,
JACS: empty description, region,
JENA: empty description, region,
JPM^C: empty description, region,
JPM^D: empty description, region,
JPM^J: empty description, region,
JPM^K: empty description, region,
JPM^L: empty description, region,
JPM^M: empty description, region,
JXN^A: empty description, region,
KEY^I: empty description, region,
KEY^J: empty description, region,
KEY^K: empty description, region,
KEY^L: empty description, region,
KIM^L: empty description, region,
KIM^M: empty description, region,
KIM^N: empty description, region,
KKR^D: empty description, region,
KKRT: empty description,
KREF^A: empty description, region,
KRSP: empty description, region,
KTH: empty description,
KTN: empty description,
LFT^A: empty description, region,
LNC^D: empty description, region,
LOB^A: empty description, region,
LXP^C: empty description, region,
MAA^I: empty description, region,
MDV^A: empty description, region,
MER^K: empty description, region,
MET^A: empty description, region,
MET^E: empty description, region,
MET^F: empty description, region,
MFA^B: empty description, region,
MFA^C: empty description, region,
MITT^A: empty description, region,
MITT^B: empty description, region,
MITT^C: empty description, region,
MS^A: empty description, region,
MS^E: empty description, region,
MS^F: empty description, region,
MS^I: empty description, region,
MS^K: empty description, region,
MS^L: empty description, region,
MS^O: empty description, region,
MS^P: empty description, region,
MS^Q: empty description, region,
MSDL: empty description,
MTB^H: empty description, region,
MTB^J: empty description, region,
MTB^K: empty description, region,
NCV^A: empty description, region,
NCZ^A: empty description, region,
NEE^N: empty description, region,
NEE^S: empty description, region,
NEE^T: empty description, region,
NEE^U: empty description, region,
NGL^B: empty description, region,
NGL^C: empty description, region,
NLY^F: empty description, region,
NLY^G: empty description, region,
NLY^I: empty description, region,
NLY^J: empty description, region,
NREF^A: empty description, region,
NSA^A: empty description, region,
NSA^B: empty description, region,
NWAX: empty description, region,
NXDT^A: empty description, region,
OAK^A: empty description, region,
OAK^B: empty description, region,
OPP^A: empty description, region,
OPP^B: empty description, region,
ORCL^D: empty description, region,
PAII: empty description, region,
PBI^B: empty description, region,
PCG^X: empty description, region,
PDCC: empty region,
PDPA: empty description, region,
PEB^E: empty description, region,
PEB^F: empty description, region,
PEB^G: empty description, region,
PEB^H: empty description, region,
PGZ: empty region,
PINE^A: empty description, region,
PMT^A: empty description, region,
PMT^B: empty description, region,
PMT^C: empty description, region,
PNFP^A: empty description, region,
PNFP^B: empty description, region,
PNFP^C: empty description, region,
PRIF^D: empty description, region,
PRIF^J: empty description, region,
PRIF^K: empty description, region,
PRIF^L: empty description, region,
PSA^F: empty description, region,
PSA^G: empty description, region,
PSA^H: empty description, region,
PSA^I: empty description, region,
PSA^J: empty description, region,
PSA^K: empty description, region,
PSA^L: empty description, region,
PSA^M: empty description, region,
PSA^N: empty description, region,
PSA^O: empty description, region,
PSA^P: empty description, region,
PSA^Q: empty description, region,
PSA^R: empty description, region,
PSA^S: empty description, region,
PSBD: empty description, region,
PSEC^A: empty description, region,
PYT: empty description,
QXO^B: empty description, region,
RAC: empty description, region,
RAC-WS: unknown mic for exchange: '', setting to XXXX
RAC-WS: empty name, company, description, exchange, asset class, industry, sector, region,
RC^C: empty description, region,
RC^E: empty description, region,
REXR^B: empty description, region,
REXR^C: empty description, region,
RF^C: empty description, region,
RF^E: empty description, region,
RF^F: empty description, region,
RITM^A: empty description, region,
RITM^B: empty description, region,
RITM^C: empty description, region,
RITM^D: empty description, region,
RITM^E: empty description, region,
RITM^F: empty description, region,
RIV^A: empty description, region,
RLJ^A: empty description, region,
RLTY: empty region,
RNR^F: empty description, region,
RNR^G: empty description, region,
RPT^C: empty description, region,
RWT^A: empty description, region,
SAC: empty description, region,
SB^C: empty description, region,
SB^D: empty description, region,
SBXD: empty description, region,
SBXE: empty description, region,
SCE^G: empty description, region,
SCE^K: empty description, region,
SCE^L: empty description, region,
SCE^M: empty description, region,
SCE^N: empty description, region,
SCHW^D: empty description, region,
SCHW^J: empty description, region,
SEAL^A: empty description, region,
SEAL^B: empty description, region,
SF^B: empty description, region,
SF^C: empty description, region,
SF^D: empty description, region,
SHO^H: empty description, region,
SHO^I: empty description, region,
SLG^I: empty description, region,
SOUL: empty region,
SPE^C: empty description, region,
SPG^J: empty description, region,
SPMA: empty description, region,
SPMC: empty region,
SPME: empty description, region,
SRG^A: empty description, region,
SRJN: empty description,
STT^G: empty description, region,
SYF^A: empty description, region,
SYF^B: empty description, region,
T^A: empty description, region,
T^C: empty description, region,
TCPA: empty description,
TDS^U: empty description, region,
TDS^V: empty description, region,
TEN^E: empty description, region,
TEN^F: empty description, region,
TFC^I: empty description, region,
TFC^O: empty description, region,
TFC^R: empty description, region,
TFIN^: empty description, region,
TRTN^A: empty description, region,
TRTN^B: empty description, region,
TRTN^C: empty description, region,
TRTN^D: empty description, region,
TRTN^E: empty description, region,
TRTN^F: empty description, region,
TRTN^G: empty description, region,
TRTX^C: empty description, region,
TWO^A: empty description, region,
TWO^B: empty description, region,
TWO^C: empty description, region,
TWOD: empty description,
TY^: empty description, region,
UMH^D: empty description, region,
USB^A: empty description, region,
USB^H: empty description, region,
USB^P: empty description, region,
USB^Q: empty description, region,
USB^R: empty description, region,
USB^S: empty description, region,
VACI: empty description, region,
VNO^L: empty description, region,
VNO^M: empty description, region,
VNO^N: empty description, region,
VNO^O: empty description, region,
VOYA^B: empty description, region,
WAL^A: empty description, region,
WBS^F: empty description, region,
WBS^G: empty description, region,
WFC^A: empty description, region,
WFC^C: empty description, region,
WFC^D: empty description, region,
WFC^L: empty description, region,
WFC^Y: empty description, region,
WFC^Z: empty description, region,
WHR^A: empty description, region,
WPAC: empty description, region,
WRB^E: empty description, region,
WRB^F: empty description, region,
WRB^G: empty description, region,
WRB^H: empty description, region,
WSO-B: unknown mic for exchange: '', setting to XXXX
WSO-B: empty name, company, description, exchange, asset class, industry, sector, region,
XRN^A: empty description, region,
XRN^B: empty description, region,
YCY: empty description, region,
finished: 2026-03-04_21-01-34
